name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
Jeffrey A. Hoffman,1978,8,Retired,11/2/1944,"Brooklyn, NY",Male,Amherst College,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)"
Donald L. Holmquest,1967,6,Retired,4/7/1939,"Dallas, TX",Male,Southern Methodist University,0,0,0,0,
Michael S. Hopkins,2009,20,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois,1,3990,2,13,ISS-37/38 (Soyuz)
Scott J. Horowitz,1992,14,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge,4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)"
Millie Hughes-Fulford,1991,13,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University,1,218,0,0,STS-40 (Columbia)
Douglas G. Hurley,2000,18,Active,10/21/1966,"Endicott, NY",Male,Tulane University,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)"
Rick D. Husband,1995,15,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)"
James B. Irwin,1966,5,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy,1,295,3,20,Apollo 15
Marsha S. Ivins,1984,10,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)"
Gregory B. Jarvis,1986,11,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo,1,0,0,0,STS 51-L (Challenger)
Mae C. Jemison,1987,12,Retired,10/17/1956,"Decatur, AL",Female,Stanford University,1,190,0,0,STS-47 (Endeavor)
Tamara E. Jernigan,1985,11,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)"
Brent W. Jett,1992,14,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy,4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)"
Gregory C. Johnson,1998,17,Management,7/30/1954,"Seattle, WA",Male,University of Washington,1,309,0,0,STS-125 (Atlantis)
Gregory H. Johnson,1998,17,Active,5/12/1962,"London, England",Male,US Air Force Academy,2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)"
Thomas D. Jones,1990,13,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)"
Janet L. Kavandi,1995,15,Management,7/17/1959,"Springfield, MO",Female,Missouri Southern State College,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)"
James M. Kelly,1996,16,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy,2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)"
Mark E. Kelly,1996,16,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy,4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)"
Scott J. Kelly,1996,16,Active,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College,4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)"
Joseph P. Kerwin,1965,4,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross,1,672,1,3,Skylab 2
Susan L. Kilrain (Still),1995,15,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University,2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
Robert Shane Kimbrough,2004,19,Active,6/4/1967,"Killeen, TX",Male,US Military Academy,3,3720,4,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)"
Timothy L. Kopra,2000,18,Active,4/9/1963,"Austin, TX",Male,US Military Academy,2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)"
Kevin R. Kregel,1992,14,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)"
Wendy B. Lawrence,1992,14,Retired,7/2/1959,"Jacksonville, FL",Female,US Naval Academy,4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)"
Mark C. Lee,1984,10,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy,4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)"
David C. Leestma,1980,9,Management,5/6/1949,"Muskegon, MI",Male,US Naval Academy,3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)"
William B. Lenoir,1967,6,Deceased,3/14/1939,"Miami, FL",Male,MIT,1,122,0,0,STS-5 (Columbia)
Fred W. Leslie,1995,15,Retired,12/19/1951,"Ancon, Panama",Male,University of Texas,1,381,0,0,STS-73 (Columbia)
Byron K. Lichtenberg,1983,10,Retired,2/19/1948,"Stroudsburg, PA",Male,Brown University,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)"
Don L. Lind,1966,5,Retired,5/18/1930,"Midvale, UT",Male,University of Utah,1,168,0,0,STS 51-B (Challenger)
Kjell N. Lindgren,2009,20,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy,1,3400,2,15,ISS-44/45 (Soyuz)
Steven W. Lindsey,1995,15,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy,5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)"
Jerry M. Linenger,1992,14,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy,2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)"
Richard M. Linnehan,1992,14,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)"
Gregory T. Linteris,1997,17,Retired,10/4/1957,"Demarest, NJ",Male,Princeton University,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
John A. Llewellyn,1967,6,Retired,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,0,0,0,0,
Paul S. Lockhart,1996,16,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University,2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)"
Michael E. Lopez-Alegria,1992,14,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy,3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)"
Christopher J. Loria,1996,16,Retired,7/9/1960,"Belmont, MA",Male,US Naval Academy,0,0,0,0,
J. Mike Lounge,1980,9,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)"
Jack R. Lousma,1966,5,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan,2,1619,2,11,"Skylab 3, STS-3 (Columbia)"
Stanley G. Love,1998,17,Management,6/8/1965,"San Diego, CA",Male,Harvey Mudd College,1,306,2,15,STS-122 (Atlantis)
James A. Lovell Jr. ,1962,2,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13"
G. David Low,1984,10,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)"
Edward T. Lu,1995,15,Retired,7/1/1963,"Springfield, MA",Male,Cornell University,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)"
Shannon W. Lucid,1978,8,Retired,1/14/1943,"Shanghai, China",Female,University of Oklahoma,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)"
Sandra H. Magnus,1996,16,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)"
Thomas H. Marshburn,2004,19,Active,8/29/1960,"Statesville, NC",Male,Davidson College,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)"
Michael J. Massimino,1996,16,Management,8/19/1962,"Oceanside, NY",Male,Columbia University,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)"
Richard A. Mastracchio,1996,16,Active,2/11/1960,"Waterbury, CT",Male,University of Connecticut,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)"
Thomas K. Mattingly II ,1966,5,Retired,3/17/1936,"Chicago, IL",Male,Auburn University,3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)"
K. Megan McArthur,2000,18,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles,1,309,0,0,STS-125 (Atlantis)
William S. McArthur Jr. ,1990,3,Management,7/26/1951,"Laurinburg, NC",Male,US Military Academy,4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)"
S. Christa McAuliffe,1985,11,Deceased,9/2/1948,"Boston, MA",Female,Framingham State College,1,0,0,0,STS 51-L (Challenger)
Jon A. McBride,1978,8,Retired,8/14/1943,"Charleston, WV",Male,US Naval Postgraduate School,1,197,0,0,STS 41-G (Challenger)
Bruce McCandless II ,1966,5,Retired,6/8/1937,"Boston, MA",Male,US Naval Academy,2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)"
William C. McCool,1996,16,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy,1,382,0,0,STS-107 (Columbia)
Michael J. McCulley,1984,10,Retired,8/4/1943,"San Diego, CA",Male,Purdue University,1,119,0,0,STS-34 (Atlantis)
James A. McDivitt,1984,2,Retired,6/10/1929,"Chicago, IL",Male,University of Michigan,2,338,0,0,"Gemini 4, Apollo 9"
Donald R. McMonagle,1987,12,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy,3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)"
Ronald E. McNair,1978,8,Deceased,10/21/1950,"Lake City, SC",Male,North Carolina A&T State College,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)"
Carl J. Meade,1985,11,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas,3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)"
Bruce E. Melnick,1987,12,Retired,12/5/1949,"New York, NY",Male,US Coast Guard Academy,2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)"
Pamela A. Melroy,1995,15,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College,3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)"
Leland D. Melvin,1998,17,Management,2/15/1964,"Lynchburg, VA",Male,University of Richmond,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)"
Dorothy M. Metcalf-Lindenberger,2004,19,Active,5/2/1975,"Colorado Springs, CO",Female,Whitman College,1,362,0,0,STS-131 (Discovery)
F. Curtis Michel,1965,4,Retired,6/5/1934,"LaCrosse, WI",Male,California Institute of Technology,0,0,0,0,
Edgar D. Mitchell,1966,5,Retired,9/17/1930,"Hereford, TX",Male,Carnegie-Mellon University,1,216,2,9,Apollo 14
Barbara R. Morgan,1998,17,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,1,305,0,0,STS-118 (Endeavor)
Lee M. Morin,1996,16,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire,1,259,2,14,STS-110 (Atlantis)
Richard M. Mullane,1978,8,Retired,9/10/1945,"Wichita Falls, TX",Male,US Military Academy,3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)"
Story Musgrave,1967,6,Retired,8/19/1935,"Boston, MA",Male,Syracuse University,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)"
Steven R. Nagel,1978,8,Retired,10/27/1946,"Canton, IL",Male,University of Illinois,4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)"
Bill Nelson,1986,11,Retired,9/29/1942,"Miami, FL",Male,Yale University,1,146,0,0,STS 61-C (Columbia)
George D. Nelson,1978,8,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)"
James H. Newman,1990,13,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)"
Carlos I. Noriega,1995,15,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California,2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)"
Lisa M. Nowak,1996,16,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy,1,306,0,0,STS-121 (Discovery)
Karen L. Nyberg,2000,18,Active,10/7/1969,"Parker’s Prairie, MN",Female,University of North Dakota,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)"
Bryan D. O'Connor,1980,9,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy,2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)"
Brian T. O'Leary,1967,6,Deceased,1/27/1940,"Boston, MA",Male,Williams College,0,0,0,0,
Ellen Ochoa,1990,13,Management,5/10/1958,"Los Angeles, CA",Female,San Diego State University,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)"
William A. Oefelein,1998,17,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University,1,308,0,0,STS-116 (Discovery)
John D. Olivas,1998,17,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)"
Ellison S. Onizuka,1978,8,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)"
Stephen S. Oswald,1985,11,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)"
Robert F. Overmyer,1969,7,Deceased,7/14/1936,"Lorain, OH",Male,Baldwin Wallace College,2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)"
William A. Pailes,1982,9,Retired,6/26/1952,"Hackensack, NJ",Male,US Air Force Academy,1,97,0,0,STS 51-J (Atlantis)
Scott E. Parazynski,1992,14,Retired,7/28/1961,"Little Rock, AR",Male,Stanford University,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)"
Ronald A. Parise,1990,13,Deceased,5/24/1951,"Warren, OH",Male,Youngstown State University,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)"
Robert A. Parker,1967,6,Retired,12/14/1936,"New York, NY",Male,Amherst College,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)"
Niclolas J. M. Patrick,1998,17,Retired,3/22/1964,"North Yorkshire, England",Male,University of Cambridge,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)"
James A. Pawelczyk,1998,17,Retired,9/20/1960,"Buffalo, NY",Male,University of Rochester,1,381,0,0,STS-90 (Columbia)
Gary E. Payton,1985,11,Retired,6/20/1948,"Rock Island, IL",Male,US Air Force Academy,1,73,0,0,STS 51-C (Discovery)
Donald H. Peterson,1969,7,Retired,10/22/1933,"Winona, MS",Male,US Military Academy,1,120,1,4,STS-6 (Challenger)
Donald R. Pettit,1996,16,Active,4/20/1955,"Silverton, OR",Male,Oregon State University,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)"
John L. Phillips,1996,16,Retired,4/15/1951,"Ft. Belvoir, VA",Male,US Naval Academy,3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)"
William R. Pogue,1966,5,Retired,1/23/1930,"Okemah, OK",Male,Oklahoma Baptist University,1,2017,2,13,Skylab 4
Alan G. Poindexter,1998,17,Deceased,11/5/1961,"Pasadena, CA",Male,Georgia Institute of Technology,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)"
Mark L. Polansky,1996,16,Retired,6/2/1956,"Paterson, NJ",Male,Purdue University,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)"
Charles J. Precourt,1990,13,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy,4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)"
William F. Readdy,1987,12,Retired,1/24/1952,"Quonset Point, RI",Male,US Naval Academy,3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)"
Kenneth S. Reightler Jr. ,1987,12,Retired,3/24/1951,"Patuxent River, MD",Male,US Naval Academy,2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)"
James F. Reilly II ,1995,15,Retired,3/18/1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)"
Garrett E. Reisman,1998,17,Retired,2/10/1968,"Morristown, NJ",Male,University of Pennsylvania,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)"
Judith A. Resnik,1978,8,Deceased,4/5/1949,"Akron, OH",Female,Carnegie-Mellon University,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)"
Paul W. Richards,1996,16,Management,5/20/1964,"Scranton, PA",Male,Drexel University,1,307,1,6,STS-102 (Discovery)
Richard N. Richards,1980,9,Retired,8/24/1946,"Key West, FL",Male,University of Missouri,4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)"
Sally K. Ride,1978,8,Deceased,5/26/1951,"Los Angeles, CA",Female,Stanford University,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)"
Patricia Hilliard Robertson,1998,17,Deceased,3/12/1963,"Indiana, PA",Female,Indiana University of Pennsylvania,0,0,0,0,
Stephen K. Robinson,1995,15,Retired,10/26/1955,"Sacramento, CA",Male,University of California-Davis,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)"
Kent V. Rominger,1992,14,Retired,8/7/1956,"Del Norte, CO",Male,Colorado State University,5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)"
Stuart A. Roosa,1966,5,Deceased,8/16/1933,"Durango, CO",Male,University of Colorado,1,216,0,0,Apollo 14
Jerry L. Ross,1980,9,Retired,1/20/1948,"Crown Point, IN",Male,Purdue University,7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)"
Kathleen Rubins,2009,20,Active,10/14/1978,"Farmington, CT",Female,University of California-San Diego,1,2762,2,13,ISS-48/49 (Soyuz)
Mario Runco Jr. ,1987,12,Management,1/26/1952,"Bronx, NY",Male,City College of New York,3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)"
Albert Sacco Jr.,1995,15,Retired,5/3/1949,"Boston, MA",Male,Northeastern University,1,381,0,0,STS-73 (Columbia)
Robert L. Satcher Jr. ,2004,19,Retired,9/22/1965,"Hampton, VA",Male,MIT,1,259,2,12,STS-129 (Atlantis)
Walter M. Schirra Jr. ,1959,1,Deceased,3/12/1923,"Hackensack, NJ",Male,US Naval Academy,3,295,0,0,"Mercury 8, Gemini 6, Apollo 7"
Harrison H. Schmitt,1965,4,Retired,7/3/1935,"Santa Rita, NM",Male,California Institute of Technology,1,301,3,22,Apollo 17
Russell L. Schweickart,1963,3,Retired,10/25/1935,"Neptune, NJ",Male,MIT,1,241,1,1,Apollo 9
Francis R. Scobee,1978,8,Deceased,5/19/1939,"Cle Elum, WA",Male,University of Arizona,2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)"
David R. Scott,1963,3,Retired,6/6/1932,"San Antonio, TX",Male,US Military Academy,3,546,4,19,"Gemini 8, Apollo 9, Apollo 15"
Winston E. Scott,1992,14,Retired,8/6/1950,"Miami, FL",Male,Florida State University,2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)"
Paul D. Scully-Power,1984,10,Retired,5/28/1944,"Sydney, Australia",Male,University of Sydney,1,197,0,0,STS 41-G (Challenger)
Richard A. Searfoss,1990,13,Retired,6/5/1956,"Mount Clemens, MI",Male,US Air Force Academy,3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)"
Margaret Rhea Seddon,1978,8,Retired,11/8/1947,"Murfreesboro, TN",Female,University of California-Berkeley,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)"
Elliot M. See Jr. ,1962,2,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy,0,0,0,0,
Ronald M. Sega,1990,13,Retired,12/4/1952,"Cleveland, OH",Male,US Air Force Academy,2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)"
Piers J. Sellers,1996,16,Management,4/11/1955,"Crowborough, England",Male,University of Edinburgh,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)"
Brewster H. Shaw Jr. ,1978,8,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)"
Alan B. Shepard Jr. ,1959,1,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,2,216,2,9,"Mercury 3, Apollo 14"
William M. Shepherd,1984,10,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy,4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)"
Loren J. Shriver,1978,8,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy,3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)"
Donald K. Slayton,1959,1,Deceased,3/1/1924,"Sparta, WI",Male,University of Minnesota,1,217,0,0,Apollo-Soyuz Test Project
Michael J. Smith,1980,9,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy,1,0,0,0,STS 51-L (Challenger)
Steven L. Smith,1992,14,Management,12/30/1958,"Phoenix, AZ",Male,Stanford University,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)"
Sherwood C. Spring,1980,9,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy,1,165,2,12,STS 61-B (Atlantis)
Robert C. Springer,1980,9,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy,2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)"
Thomas P. Stafford,1962,2,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project"
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,2/7/1963,"St. Paul, MN",Female,MIT,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)"
Robert L. Stewart,1978,8,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi,2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)"
Nicole P. Stott,2000,18,Active,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)"
Frederick W. Sturckow,1995,15,Retired,8/11/1961,"La Mesa, CA",Male,California Polytechnic State University,4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)"
Kathryn D. Sullivan,1978,8,Retired,10/3/1951,"Patterson, NJ",Female,University of California-Santa Cruz,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)"
Steven R. Swanson,1998,17,Active,12/3/1960,"Syracuse, NY",Male,University of Colorado,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)"
John L. Swigert Jr. ,1966,5,Deceased,8/30/1931,"Denver, CO",Male,University of Colorado,1,142,0,0,Apollo 13
Daniel M. Tani,1996,16,Retired,2/1/1961,"Ridley Park, PA",Male,MIT,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)"
Joseph R. Tanner,1992,14,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)"
Norman E. Thagard,1978,8,Retired,7/3/1943,"Marianna, FL",Male,Florida State University,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)"
Andrew S. W. Thomas,1992,14,Management,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)"
Donald A. Thomas,1990,13,Retired,5/6/1955,"Cleveland, OH",Male,Case Western Reserve University,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)"
Stephen D. Thorne,1985,11,Deceased,2/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,0,0,0,0,
Kathryn C. Thornton,1984,10,Retired,8/17/1952,"Montgomery, AL",Female,Auburn University,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)"
William E. Thornton,1967,6,Retired,4/14/1929,"Faison, NC",Male,University of North Carolina,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)"
Pierre J. Thuot,1985,11,Retired,5/19/1955,"Groton, CT",Male,US Naval Academy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)"
Scott D. Tingle,2009,20,Active,7/19/1965,"Attleboro, MA",Male,Southeastern Massachusetts University,0,0,0,0,
Richard H. Truly,1969,7,Retired,11/12/1937,"Fayette, MS",Male,Georgia Institute of Technology,2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)"
Lodewijk van den Berg,1985,11,Retired,3/24/1932,"Sluiskil, Netherlands",Male,Delft University of Technology,1,168,0,0,STS 51-B (Challenger)
James D. van Hoften,1978,8,Retired,6/11/1944,"Fresno, CA",Male,University of California-Berkeley,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)"
Mark T. Vande Hei,2009,20,Active,11/10/1966,"Falls Church, VA",Male,Saint John’s University,0,0,0,0,
